230;9
241;9
456;9
288;10
304;12
288;14
293;15
256;17
231;20
274;20
302;19
358;26
408;11
360;11
291;14
238;19
218;21
262;23
238;23
223;21
226;23
228;23
226;57
230;56
224;67
189;108
142;92
105;121
123;120
187;105
213;120
230;116
237;128
249;128
236;106
201;104
160;95
115;67
78;64
68;67
59;59
56;63
45;62
37;47
31;56
24;59
24;54
30;43
26;27
27;21
33;21
51;15
62;15
82;22
156;31
304;45
358;71
351;86
385;155
424;178
462;192
636;203
757;231
808;257
895;352
924;477
993;465
1026;436
1120;462
1230;456
1249;459
1150;444
939;419
764;393
658;376
611;396
566;378
489;394
456;354
435;326
382;285
332;267
289;175
225;145
206;96
180;113
161;104
183;162
240;172
350;189
436;254
647;329
891;338
1146;328
1295;368
1438;360
1519;346
1582;349
1736;402
1859;411
1815;426
1732;415
1734;449
1638;495
1604;520
1622;579
1667;581
1635;552
1494;451
1294;405
1190;430
1231;421
1290;370
1265;385
1311;400
1228;384
1419;427
1678;467
1713;478
1630;459
1609;454
1674;450
1774;387
1793;297
1636;348
1403;384
1450;374
1581;497
1662;425
1752;285
1817;428
1755;421
1784;422
1793;463
1855;478
2013;415
2254;418
2451;483
2539;556
2697;570
2908;625
3123;655
3297;653
3361;551
3401;577
3420;726
3415;712
3374;673
3369;619
3397;696
3453;713
3529;743
3504;696
3404;504
3298;472
3256;426
3262;417
3219;339
3106;319
3022;356
2939;344
2921;436
2926;476
2915;511
3043;531
3066;562
2852;517
2912;528
3193;602
3223;622
3189;643
3102;672
3029;719
3000;731
3083;739
3107;734
2824;746
2808;729
2891;695
3018;627
2935;478
2772;386
2786;354
2846;366
2835;384
2883;426
3007;406
3000;410
3104;411
3226;410
3212;364
3003;321
3003;319
3031;366
2979;365
2975;388
2862;530
2720;657
2658;628
2683;462
2634;533
2437;557
2410;574
2475;471
2516;401
2521;331
2568;269
2585;236
2504;193
2514;179
2497;212
2530;263
2611;342
2790;360
2948;241
2994;195
2857;240
2641;360
2455;532
2270;578
2075;576
2040;552
1991;529
1971;508
2063;518
2072;509
2039;464
1968;411
1704;368
1496;356
1391;308
1307;241
1225;227
1215;203
1221;182
1115;231
1124;260
1163;271
1388;240
1657;213
1726;179
1771;170
1672;179
1497;226
1324;274
1323;298
