,35.921,43.366,31.415,6.3728,20.545,39.834,41.928,47.785,0.21703,17.638,44.809,45.5,10.238
,29.968,37.263,28.487,6.4526,17.465,33.877,34.172,42.534,0.21561,14.252,36.234,38.617,9.8275
,26.402,33.908,26.774,6.1012,15.609,29.728,29.097,39.917,0.21671,12.077,31.239,34.625,9.5915
,24.759,32.1,25.724,6.0563,14.817,28.105,26.693,38.615,0.21559,10.903,28.785,32.842,9.4169
,24.157,31.635,25.416,5.9919,14.603,27.4,25.76,38.007,0.21579,10.315,27.887,32.242,9.462
,24.493,32.005,25.57,6.2155,14.639,27.463,25.859,38.369,0.21657,10.318,28.218,32.484,9.7409
,26.305,34.031,26.998,7.0707,15.635,29.464,28.019,41.174,0.21552,11.252,30.759,34.647,10.665
,32.739,40.358,30.936,8.6085,18.492,36.519,34.372,49.099,0.21693,14.096,38.026,41.87,12.681
,41.574,50.662,36.773,10.894,21.537,43.201,42.159,61.249,0.21363,16.443,48.731,52.917,14.937
,45.075,58.611,42.015,13.382,21.53,42.808,43.743,70.279,1.6647,12.623,53.561,59.998,17.437
,43.044,57.217,42.48,15.06,16.778,37.725,39.496,68.141,3.2465,8.1762,49.439,57.245,19.115
,41.052,54.773,41.685,14.625,12.719,33.368,36.2,64.673,1.5018,4.4453,46.613,52.991,19.44
,41.345,55.634,41.403,14.221,18.924,35.337,37.613,64.408,2.613,10.373,49,53.526,19.45
,40.347,55.254,41.509,14.471,18.004,32.926,34.984,65.358,2.7324,10.742,47.825,52.079,19.856
,39.127,53.833,40.971,14.316,19.851,32.45,33.826,65.29,2.2308,10.63,46.275,49.869,19.546
,40.6,55.724,42.126,14.377,17.553,33.235,36.087,65.021,2.6647,7.2681,45.286,51.488,19.584
,40.784,53.86,41.357,13.919,16.153,37.501,36.459,63.232,3.736,8.5351,43.63,50.959,19.039
,41.888,54.502,41.068,12.766,19.043,37.816,37.83,64.164,1.3237,11.048,47.065,53.663,17.993
,47.912,59.678,43.404,11.153,22.498,47.936,48.009,68.045,0.18541,18.677,56.468,60.822,16.051
,51.637,63.567,43.689,9.2814,25.02,57.108,57.011,70.8,0.21081,23.725,65.076,66.974,13.771
